customerID,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,NumServices
3292-PBZEJ,11,Month-to-month,Fiber optic,Electronic check,111.4,8
2081-VEYEH,3,Month-to-month,Fiber optic,Electronic check,107.95,7
6734-GMPVK,5,Month-to-month,Fiber optic,Electronic check,105.3,7
7145-FEJWU,12,Month-to-month,Fiber optic,Electronic check,105.3,7
2018-PZKMU,9,Month-to-month,Fiber optic,Electronic check,103.1,6
8118-TJAFG,9,Month-to-month,Fiber optic,Electronic check,101.5,6
0722-SVSFK,7,Month-to-month,Fiber optic,Electronic check,100.4,6
7379-FNIUJ,2,Month-to-month,Fiber optic,Electronic check,100.2,6
6645-MXQJT,2,Month-to-month,Fiber optic,Electronic check,97.1,5
4566-NECEV,5,Month-to-month,Fiber optic,Electronic check,96.55,6
